item_id,client_id,item_name,item_data_description,item_status,item_image,item_time
797,1,gas,gas,0,gas.png,2021-07-06T18:35:21.000Z
801,1,gas,gas,0,gas.png,2021-07-06T18:35:27.000Z
808,1,gas,gas,0,gas.png,2021-07-06T18:35:33.000Z
815,1,pir,pir,1,pir.png,2021-07-06T18:35:39.000Z
817,1,gas,gas,0,gas.png,2021-07-06T18:35:45.000Z
823,1,gas,gas,0,gas.png,2021-07-06T18:35:51.000Z
828,1,gas,gas,0,gas.png,2021-07-06T18:35:58.000Z
834,1,ldr,ldr,0,ldr.png,2021-07-06T18:36:04.000Z
838,1,gas,gas,0,gas.png,2021-07-06T18:36:10.000Z
841,1,dht/hum,hum,95.00,hum.png,2021-07-06T18:36:16.000Z
842,1,dht/tc,temp,29.60,tem.png,2021-07-06T18:36:16.000Z
849,1,ldr,ldr,0,ldr.png,2021-07-06T18:36:22.000Z
854,1,ldr,ldr,0,ldr.png,2021-07-06T18:36:28.000Z
858,1,ldr,ldr,0,ldr.png,2021-07-06T18:36:34.000Z
863,1,dht/hum,hum,95.00,hum.png,2021-07-06T18:36:40.000Z
869,1,ldr,ldr,0,ldr.png,2021-07-06T18:36:46.000Z
873,1,gas,gas,0,gas.png,2021-07-06T18:36:52.000Z
879,1,ldr,ldr,0,ldr.png,2021-07-06T18:36:58.000Z
881,1,dht/hum,hum,95.00,hum.png,2021-07-06T18:37:04.000Z
890,1,pir,pir,1,pir.png,2021-07-06T18:37:12.000Z
894,1,ldr,ldr,0,ldr.png,2021-07-06T18:37:18.000Z
899,1,dht/tc,temp,29.50,tem.png,2021-07-06T18:37:23.000Z
900,1,dht/hum,hum,95.00,hum.png,2021-07-06T18:37:29.000Z
1106,1,dht/hum,hum,95.00,hum.png,2021-07-06T18:41:38.000Z
1114,1,ldr,ldr,0,ldr.png,2021-07-06T18:41:44.000Z
1255,1,pir,pir,1,pir.png,2021-07-06T18:44:41.000Z
1256,1,dht/hum,hum,95.00,hum.png,2021-07-06T18:44:47.000Z
1591,1,dht/hum,hum,95.00,hum.png,2021-07-06T18:51:35.000Z
1599,1,pir,pir,1,pir.png,2021-07-06T18:51:41.000Z
1601,1,dht/tc,temp,29.40,tem.png,2021-07-06T18:51:47.000Z
1609,1,pir,pir,1,pir.png,2021-07-06T18:51:53.000Z
1612,1,dht/hum,hum,95.00,hum.png,2021-07-06T18:51:59.000Z
1620,1,ldr,ldr,0,ldr.png,2021-07-06T18:52:05.000Z
1621,1,dht/hum,hum,95.00,hum.png,2021-07-06T18:52:11.000Z
1629,1,pir,pir,1,pir.png,2021-07-06T18:52:17.000Z
1632,1,gas,gas,0,gas.png,2021-07-06T18:52:23.000Z
1639,1,ldr,ldr,0,ldr.png,2021-07-06T18:52:29.000Z
1642,1,gas,gas,0,gas.png,2021-07-06T18:52:35.000Z
1646,1,dht/hum,hum,95.00,hum.png,2021-07-06T18:52:41.000Z
1655,1,pir,pir,1,pir.png,2021-07-06T18:52:48.000Z
1658,1,dht/hum,hum,95.00,hum.png,2021-07-06T18:52:54.000Z
1662,1,gas,gas,0,gas.png,2021-07-06T18:53:00.000Z
1666,1,dht/hum,hum,95.00,hum.png,2021-07-06T18:53:06.000Z
1674,1,pir,pir,1,pir.png,2021-07-06T18:53:12.000Z
1677,1,dht/tc,temp,29.40,tem.png,2021-07-06T18:53:18.000Z
1683,1,gas,gas,0,gas.png,2021-07-06T18:53:24.000Z
1688,1,gas,gas,0,gas.png,2021-07-06T18:53:30.000Z
1843,1,dht/hum,hum,95.00,hum.png,2021-07-06T18:56:39.000Z
1848,1,gas,gas,0,gas.png,2021-07-06T18:56:45.000Z
1854,1,ldr,ldr,0,ldr.png,2021-07-06T18:56:51.000Z
1857,1,dht/tc,temp,29.50,tem.png,2021-07-06T18:56:57.000Z
1865,1,pir,pir,1,pir.png,2021-07-06T18:57:03.000Z
1867,1,dht/tc,temp,29.40,tem.png,2021-07-06T18:57:09.000Z
1871,1,dht/hum,hum,95.00,hum.png,2021-07-06T18:57:15.000Z
1880,1,pir,pir,1,pir.png,2021-07-06T18:57:21.000Z
1882,1,ldr,ldr,0,ldr.png,2021-07-06T18:57:27.000Z
1887,1,dht/tc,temp,29.50,tem.png,2021-07-06T18:57:33.000Z
2375,1,pir,pir,1,pir.png,2021-07-06T19:07:24.000Z
2376,1,dht/hum,hum,95.00,hum.png,2021-07-06T19:07:30.000Z
2385,1,pir,pir,1,pir.png,2021-07-06T19:07:36.000Z
2386,1,dht/hum,hum,95.00,hum.png,2021-07-06T19:07:42.000Z
2395,1,pir,pir,1,pir.png,2021-07-06T19:07:48.000Z
2396,1,dht/hum,hum,95.00,hum.png,2021-07-06T19:07:54.000Z
2398,1,dht/tc,temp,29.30,tem.png,2021-07-06T19:07:54.000Z
2404,1,gas,gas,0,gas.png,2021-07-06T19:08:00.000Z
2407,1,dht/tc,temp,29.40,tem.png,2021-07-06T19:08:06.000Z
